sizeMode,symbol,N Rows,Mean(downX),Mean(downY),Std Dev(downX),Std Dev(downY),N(downX),N(downY)
4,D,7236,614.52183056,559.48278546,14.754606032,14.839490773,7236,7236
4,E,7236,574.59895897,481.85197815,14.754606032,14.839490773,7236,7236
4,F,7236,686.52744194,559.17900461,14.754606032,14.839490773,7236,7236
4,G,7236,754.30680135,556.46208089,14.754606032,14.839490773,7236,7236
4,H,7236,832.12378452,563.00592279,14.754606032,14.839490773,7236,7236
4,I,7236,938.79978656,481.43717314,14.754606032,14.839490773,7236,7236
4,J,7236,894.70482113,565.58948396,14.754606032,14.839490773,7236,7236
4,K,7236,973.51102545,560.76070932,14.754606032,14.839490773,7236,7236
4,L,7236,1051.4532843,567.30669383,14.754606032,14.839490773,7236,7236
4,M,7236,979.59745466,637.20382743,14.754606032,14.839490773,7236,7236
4,N,7236,898.76352431,634.84794507,14.754606032,14.839490773,7236,7236
4,O,7236,1008.7380092,483.68695522,14.754606032,14.839490773,7236,7236
4,P,7236,1087.0934546,483.58151428,14.754606032,14.839490773,7236,7236
4,Q,7236,420.24502411,484.93401031,14.754606032,14.839490773,7236,7236
4,R,7236,648.42120861,484.68597118,14.754606032,14.839490773,7236,7236
4,S,7236,539.20782417,558.81146348,14.754606032,14.839490773,7236,7236
4,T,7236,720.67578185,481.60940707,14.754606032,14.839490773,7236,7236
4,U,7236,864.91571923,485.44693453,14.754606032,14.839490773,7236,7236
4,V,7236,758.71637166,635.95190328,14.754606032,14.839490773,7236,7236
4,W,7236,503.53930703,481.72164685,14.754606032,14.839490773,7236,7236
4,X,7236,621.54179077,633.64221497,14.754606032,14.839490773,7236,7236
4,Y,7236,792.8032039,484.51619619,14.754606032,14.839490773,7236,7236
4,Z,7236,536.47133484,635.84086609,14.754606032,14.839490773,7236,7236
